OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
23,25,Cedar Fort,0,CEDAR FORT,2/8/16 0:00,11430,3030,019,4, ,427,420,CDF,1455091,db0024e2-512c-4478-ba0a-120c18640cf5,94447867.79,49141.91621
201,25,Cedar Hills,0,CEDAR HILLS,10/6/22 0:00,11440,3040,123,3, ,10019,9956,CHL,1455858,19448aed-bc7e-47a9-8006-c7acad529428,12222124.72,30071.93543
110,20,Centerfield,0,CENTERFIELD,6/9/15 0:00,11870,3010,004,1, ,1341,1398,CFD,1426506,80528cdf-ae63-4601-bf6d-69357fafad99,8221643.559,11547.07044
132,06,Centerville,0,CENTERVILLE,,11980,3020,006,1, ,16884,16502,CEN,1439622,5aac9644-190b-4a7a-9db3-83c1e618e355,27258386.79,31951.94108
224,21,Central Valley,0,CENTRAL VALLEY,5/24/24 0:00,12260,3015,007,2,,647,671,CVY,1439625,5bb6b898-7197-4263-ac3c-d9db697c9962,8957344.293,28332.03228
157,26,Charleston,0,CHARLESTON,3/6/23 0:00,12420,3010,003,4, ,436,421,CHA,1426539,633494cc-6fbc-45ff-9ee4-9e4ba560f406,14484543.69,24335.65706
27,16,Circleville,0,CIRCLEVILLE,9/27/10 0:00,12970,3010,003,1, ,550,544,CIR,1439749,99e14170-7df2-4a66-8d0f-13eeea6e0609,46410072.7,35121.96301
218,03,Clarkston,0,CLARKSTON,8/12/10 0:00,13190,3020,014,3, ,749,763,CLK,1426671,200bc6ee-783e-4301-ae34-d5727c8bb59e,4329011.027,10943.66437
19,08,Clawson,0,CLAWSON,1/3/14 0:00,13300,3020,003,3, ,162,170,CLW,1426675,b69e7466-054a-427e-86cc-0d444a79ff2c,4312614.309,16508.71445
98,06,Clearfield,0,CLEARFIELD,12/17/14 0:00,13850,3030,008,4, ,31909,34062,CLR,1439799,d2112060-c3ac-4ffa-8817-5bd2bef6506c,35244679.42,31879.88641
5,08,Cleveland,0,CLEVELAND,1/9/23 0:00,14070,3030,004,1, ,497,510,CLE,1426712,e24dd82c-61e7-4fe0-913c-0332e976bc74,3879035.219,12015.07648
149,06,Clinton,0,CLINTON,,14290,3040,059,3, ,23386,23538,CLI,1426725,9ec3c3e9-f2af-4b10-a5a3-99d34e639a41,27114812.5,26090.564
130,22,Coalville,1,COALVILLE,7/10/18 0:00,14840,3010,006,1, ,1486,1524,COA,1426770,8da745e2-4a64-4155-9b84-80c3d868694b,30033749.59,39947.26241
152,18,Copperton,0,COPPERTON,8/20/24 0:00,15720,3900,,4,Copperton,829,840,CMT,,ce471efd-1cb1-423d-abbb-9c323a9ef751,1407033.258,8080.141764
46,02,Corinne,0,CORINNE CITY,5/25/12 0:00,15830,3030,025,4, ,809,853,COR,1439951,864e6cef-3eac-45f0-9730-2736ec46ebe0,17860940.12,26640.85157
183,03,Cornish,0,CORNISH,12/15/11 0:00,15940,3030,017,1, ,274,276,CSH,1437533,74cc44a3-af6e-42ea-a838-b383c36fc469,25300324.84,31836.30176
197,18,Cottonwood Heights,0,COTTONWOOD HEIGHTS,10/15/14 0:00,16270,3025,020,2,,33617,32420,COT,1440025,7e9364ae-1314-4433-8028-c18df0ba9b2e,41563685.36,37878.6102
84,26,Daniel,0,DANIEL ,12/12/13 0:00,34200,3015,005,2,,916,887,DAN,1455872,397a6aeb-b303-45a6-ace4-496604a2026c,14755038.25,34560.84016
76,14,Delta,0,DELTA CITY,12/1/23 0:00,18910,3010,010,1,Delta,3622,3724,DEL,1427334,fe4c360b-64f7-4644-9437-4438905ebfcd,37914901.3,57483.16622
192,02,Deweyville,0,DEWEYVILLE,2/23/24 0:00,19680,3040,032,4, ,417,430,DEW,1455092,f6971e20-b98e-42d7-a799-bbd98cf52cc7,29612211.06,37671.64203
195,18,Draper,0,DRAPER CITY (SL CO),2/29/24 0:00,20120,3030,029,1,Draper City,51017,50731,DRA,1427473,98cb3e64-4dc3-4c9d-8095-bd4962777c2d,98546168.73,65163.83387
206,25,Draper,0,DRAPER CITY (UTAH CO),7/18/11 0:00,20120,3045,029,1,Draper City,51017,50731,DRA,1427473,d4fe63f6-d1f9-45a3-9b45-cc9ba63ae0c4,28742179.36,36435.46202
235,07,Duchesne,1,DUCHESNE,4/26/19 0:00,20340,3020,008,2,Duchesne,1588,1623,DUC,1427601,b59ca9ce-98ed-435a-9c92-e1ec3d21e38a,12420749.53,29211.9067
169,05,Dutch John,0,DUTCH JOHN CITY,8/10/15 0:00,20780,3005,,1,Dutch John,141,149,DUT,1440738,5e508ebb-728c-496e-98e3-a8df4c9bda74,28557589.89,23388.354
207,25,Eagle Mountain,0,EAGLE MOUNTAIN,6/23/22 0:00,20810,3047,030,2, ,43623,54149,EAG,1759211,d7fa9feb-5c77-4c3a-9c04-ccc048899d45,228031790.8,104693.1948
243,04,East Carbon,0,EAST CARBON CITY,12/18/13 0:00,20890,3010,,1,East Carbon City,1556,1567,ECC,2410386,9a5fd5c3-4600-48ef-bd41-ee825cd7960f,49160683.34,57584.2516
105,25,Elk Ridge,0,ELK RIDGE,5/1/20 0:00,22370,3050,124,2, ,4687,4907,ELK,1455857,1c49776b-7436-49e7-896c-647731fa9934,12932997.25,28146.67751
13,08,Elmo,0,ELMO,3/26/12 0:00,22540,3040,007,2, ,405,415,ELM,1427806,4173d99c-793e-47ea-b58c-09371955a2ea,3063070.273,10933.90066
127,21,Elsinore,0,ELSINORE,5/17/21 0:00,22650,3030,014,1, ,802,865,ELS,1440921,4a6bf55a-eb17-418d-92c3-79cbf5a0b1c9,11174804.56,16638.57133
199,02,Elwood,0,ELWOOD,2/14/23 0:00,22760,3050,035,2, ,1173,1249,ELW,1427809,1a552094-3cff-4902-a6a5-c27a09c09bda,40201506.44,58763.13106
38,08,Emery,0,EMERY,3/26/12 0:00,22870,3050,008,1, ,307,315,EMY,1440926,f670e6d5-cbe0-48e0-b427-1d8b52040e41,5260972.199,16561.31714
93,18,Emigration Canyon,0,EMIGRATION CANYON,7/16/24 0:00,22875,3901,,2,Emigration Canyon,1466,1484,,,8a3ca828-07ee-4887-851d-51f5ef6963a7,82398919.92,43970.70407
91,11,Enoch,0,ENOCH,4/25/24 0:00,23200,3030,005,4, ,7374,8231,ENO,1437554,24a19714-d091-413f-9feb-4e761fab615c,32759605.45,55265.83929
229,27,Enterprise,0,ENTERPRISE,6/23/21 0:00,23420,3010,005,3, ,2027,2264,ENT,1440940,9e2f4eba-bbe5-4aba-ac59-dbec16f6f90a,36115522.66,42920.93797
73,20,Ephraim,0,EPHRAIM,10/7/22 0:00,23530,3020,008,2,Ephraim,5611,5937,EPH,1440944,6e72c220-1c2e-487f-991b-40fe4f85b785,22216598.48,34704.92247
