YEAR,GEOID20,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION,ACS_PCT_UNINSURED
2020,49045131005,49045,49,Utah,Tooele County,West,34.93
2020,49045131101,49045,49,Utah,Tooele County,West,1.63
2020,49045131102,49045,49,Utah,Tooele County,West,5.88
2020,49045131200,49045,49,Utah,Tooele County,West,11.84
2020,49045980000,49045,49,Utah,Tooele County,West,
2020,49047940201,49047,49,Utah,Uintah County,West,23.76
2020,49047968201,49047,49,Utah,Uintah County,West,13.2
2020,49047968202,49047,49,Utah,Uintah County,West,6.06
2020,49047968301,49047,49,Utah,Uintah County,West,18.65
2020,49047968302,49047,49,Utah,Uintah County,West,8.83
2020,49047968401,49047,49,Utah,Uintah County,West,8.44
2020,49047968403,49047,49,Utah,Uintah County,West,24.1
2020,49047968404,49047,49,Utah,Uintah County,West,22.42
2020,49049000102,49049,49,Utah,Utah County,West,8.14
2020,49049000103,49049,49,Utah,Utah County,West,5.22
2020,49049000104,49049,49,Utah,Utah County,West,5.47
2020,49049000105,49049,49,Utah,Utah County,West,6.47
